speaker,line
MULDER,"Well, you were there, too. EINSTEIN looks down at him, expressionless, but clearly wanting to know more."
MULDER,"And you were 50 shades of bad. EINSTEIN narrows her eyes as she looks down at MULDER, taking in his latest admission."
MULDER,You know this is ridiculous.
EINSTEIN,We don't want you dancing away.
MULDER,So I did... I-I-I... I did dance?
EINSTEIN,"According to a whole bunch of very frightened, middle-aged Texans."
MULDER,You're just covering your ass.
EINSTEIN,"Well, either way. I'll be looking at disciplinary action over my own dismal failure of authority. Thanks to you, I'll probably be banished to my own basement office, consigned to a life of ridicule and ignominy..."
MULDER,"Stop! Stop. We hear a distant voice calling out. MULDER calls to EINSTEIN to stop the wheelchair and gets out of it unaided. He walks to the hospital exit, which is flanked outside by a line of FBI agents. In front of the guard is a lone woman, wearing a headscarf and long white smock. She is patted down by a female FBI agent as MULDER approaches."
WOMAN,Please. I'm begging you!
MULDER,"I... I know this woman. It's okay. It's the woman from the River Styx scene during MULDER's trip earlier. MULDER puts an arm around her and leads her back inside the hospital, passing EINSTEIN as they make their way to the isolation ward."
MULDER,Maybe you haven't failed.
EINSTEIN,"Agent Scully. Miller. The door opens further and MULDER slowly enters, accompanied by the WOMAN who looks quite overwhelmed."
MULDER,"This is Noora. She's come here today to talk to her son, Shiraz."
SCULLY,"Mulder, where did you find her?"
EINSTEIN,"Please don't ask him that. MULDER leads NOORA towards the bed. She gasps in horror and collapses as soon as she sees her son, her fall arrested by MULDER and MILLER who grab her in time. They lead her slowly to the bedside, supporting her under her arms as she nears the bed."
MULDER,"It's okay. NOORA's left give way again, but MULDER reassures her."
MULDER,Got you. SCULLY and EINSTEIN look on compassionately as she nears the bed. She starts speaking in Arabic. SCULLY notices an increase in brain activity on the EEG monitor.
SCULLY,We believe that he can hear you.
NOORA,Then my prayers are answered. NOORA's demeanour improves. She caresses her son's bruised face. She starts speaking to him in English. His brain activity continues to increase.
NOORA,"Oh. My beautiful baby boy, Shiraz. You could not ever kill anyone. This is not how I raised you - to worship Allah through death. To be a man by following men. Your heart is too big for them. You see the faces of the innocent, and you lose your nerves. You cannot go through with the bomb."
MULDER,"Noora, how do you know that?"
NOORA,Because my Shiraz tells me so... in my dreams and in my prayers.
MILLER,"Who filled his head, Noora? NOORA shakese her head. MILLER starts speaking to her in Arabic."
MILLER,Help us stop these men NOORA replies in English.
NOORA,I do not know how to help you because I do not know their names. Suddenly SHIRAZ's body tenses. His legs start to shake. His body fights for air. Alarms start beeping. The ECG monitor shows his pulse quicken and then suddenly stop. A flatline tone sounds.
SCULLY,He's going into cardiac arrest.
SCULLY,Blood pressure's dropping. EINSTEIN leaves hastily.
EINSTEIN,I'm gonna go get help. MILLER looks at the EEG. Activity is increasing.
MILLER,"No, no. I think he's trying to tell us."
SCULLY,Now we're losing him! SHIRAZ's body shaking starts to subside. He gasps.
NOORA,"Shiraz, please, please. The flatline continues. The EEG monitor shows a complete cessation of brain activity. SHIRAZ's body becomes still."
SCULLY,I'm so sorry. NOORA cries out in desperation and sorrow.
NOORA,"No, Shiraz!"
SCULLY,I'm sorry. EINSTEIN and MULDER are watching from a respectful distance. NOORA continues to held her son and call to him.
NOORA,"Oh, my Shiraz."
EINSTEIN,Let's give her some space.
MULDER,He talked to us. He talked to me. NOORA leans forward to lay her head on her son's motionless chest. MULDER approaches the bed.
MULDER,This is exactly how I saw it. EINSTEIN pleads with him to let it go.
EINSTEIN,"Agent Mulder, please..."
MULDER,He spoke to me. NOORA places an arm behind SHIRAZ's neck to cradle him.
NOORA,Shiraz.
MULDER,"He spoke to me. MULDER turns and heads out of the ward, followed by MILLER and SCULLY."
SCULLY,What do you mean he spoke to you?
MILLER,"Spoke to you when, Agent Mulder?"
MULDER,With the help of Agent Einstein.
EINSTEIN,"Ugh, Agent Mulder, please stop. They stop outside the ward, whilst MULDER attempts to explain the unexplainable."
SCULLY,"Mulder, when could he possibly have spoken to you?"
MULDER,I can explain. Or I can't explain. He spoke to me. In Arabic.
SCULLY,In Arabic?
MULDER,"In words I didn't understand, yeah."
MILLER,"What words, Agent Mulder? MULDER tries to recollect. We cut back to the longboat scene, SHIRAZ lying in his mother's arms, speaking with difficulty."
MULDER,"Babble? Babeel? Bob-Babel? MULDER closes his eyes, trying his hardest to recollect and verbalise the words spoken by SHIRAZ."
MULDER,"Babel? Babbel al? Resigned, he can't quite get there, but it's a start."
MULDER,Something.
MILLER,"""Babil"" is ""Babylon,"" the city. SCULLY raises her eyebrows."
SCULLY,"Like in ancient Babylon? EINSTEIN meanwhile wants to try and save her FBI future, but MILLER wants none of it."
EINSTEIN,I feel like I need to explain.
MILLER,"Just let him finish, please. MULDER is still anguished, trying to close in on the important words spoken to him."
MULDER,Babil al... Babil...
SCULLY,"Mulder, are you okay? He winces at her comment and continues to grasp with the unknown words. Finally he gets something."
MULDER,"Funduq. Babil al Funduq. SCULLY looks hopefully at MILLER, who is now shaking his head."
MILLER,Babylon the hotel?
TERRORIST,"Allahu Akbar. A small group of armed agents in full combat gear approach the motel building, the leading agents holding raised shields. The terrorists are still in prayer. Suddenly the agents storm the room the terrorists are occupying, smashing through the plate-glass sliding doors with sub-machine guns drawn. The terrorists, taken by surprise, offer no resistance and are quickly overun and forced to the ground. Threat neutralised."
EINSTEIN,Not staying for the attaboys?
MILLER,I didn't really do anything.
EINSTEIN,Ah. Nothing but take down a terror cell ready to kill untold numbers.
MILLER,That was all Agent Mulder.
EINSTEIN,"That's not how I understand it. I'm told you kept that boy alive, that you kept him safe from harm."
MILLER,I translated a few words. It was all you and Agent Mulder.
EINSTEIN,"Remarkably, I did nothing. And, remarkably, it worked. Although I'm at a loss in explaining it."
MILLER,"Maybe some things are unexplainable, Agent Einstein."
EINSTEIN,Mmm.
EINSTEIN,"The most beautiful thing we can experience is the mysterious, the source of all true art and science."
MILLER,"That's... beautiful, Einstein."
EINSTEIN,"Yes. Einstein. That's who said it, Miller. The real mystery here is your behaviour, bringing Agent Scully down here without bothering to consult me."
MILLER,"Remarkably, I did nothing. It was you who abandoned me, Agent Einstein, for the crazy train."
EINSTEIN,"Never again, Agent Miller. Although something is clearer to me now, as a result of the experience."
MILLER,The value of an open mind?
EINSTEIN,"The nature of reality. I'm now convinced that words and ideas do have weight, the weight to move people to do the most psychotic things."
MILLER,Giving someone magic mushrooms?
EINSTEIN,I was talking about Agent Mulder.
MILLER,"Right. Oops. MILLER puts his ear-buds back, leans his head back and closes his eyes."
SCULLY,"Talk to me, Mulder. MULDER smiles."
MULDER,Oh... where to begin?
SCULLY,Why didn't you tell me about your little scheme?
MULDER,Y-You were on your own mission. And you would've never bought that.
SCULLY,"Absolutely right. I have to applaud her, though, on her clever trick with the placebo."
MULDER,Yeah. Yeah. How did that work? She smiles broadly at him.
SCULLY,Wonders never cease with you.
MULDER,"I saw things, though, Scully. Powerful things. I saw deep and unconditional love."
SCULLY,"I saw things too. I witnessed unqualified hate, that appears to have no end."
MULDER,But how to reconcile the two? The extremes of our nature.
SCULLY,"That's the question. Maybe the question of our times. MULDER smiles at her from his chair. He slowly gets up, and reaches for her hand. She gives him both, smiling. Hand in hand, they slowly walk down the verandah steps onto the grass."
MULDER,"Walk with me, Scully. This whole thing has got me thinking. Thinking about God."
SCULLY,"You, Mulder? Thinking about God?"
MULDER,"The angry God of the Bible. The Tower of Babel and Babylon, scattering people violently, so there's never to speak a common language."
SCULLY,Punishing man for his hubris.
MULDER,"Well, that lesson didn't stick. But the anger sure remains."
SCULLY,That's the same angry God as in the Koran. Ordering death to the infidels.
MULDER,What exactly is this God saying? Worship me and my great anger?
SCULLY,"Well, that's a good question, Mulder. One for the ages."
MULDER,"Well, think about the immense power in those prophecies, the power in those words to convince young men to put on suicide vests today and murder for their angry God."
SCULLY,What are you getting at?
MULDER,"Those boys, they just swallow the pill. It's the power of suggestion. They stop on the track facing each other. SCULLY looks up at MULDER with affection."
SCULLY,Is this received wisdom from your magical mystery tour?
MULDER,"Yes. Courtesy of... the shrooms, something else, something to... trump all hatred. Mother Love."
SCULLY,Whoa.
MULDER,I refuse to believe that mothers are having babies just to be martyrs. I want to believe that mothers have a greater purpose for all of us.
SCULLY,I agree. A child is not a tool to spread hatred.
MULDER,"But where does the hatred end, though?"
SCULLY,"Maybe it ends where it began, by finding a common language again. Maybe that's God's will."
MULDER,How can we really know? He's absent from the stage. She smiles at him. He smiles back.
SCULLY,Well... maybe it's beyond words. Maybe we should do like the prophets and open our hearts and truly listen. He closes his eyes and breathes in the fresh air. Suddenly we hear an eerie trumpet-like sound far off in the distance. MULDER immediately notices it. SCULLY is unaware. He looks around.
SCULLY,What? The trumpeting sound continues. MULDER continues to look for its source.
SCULLY,What?
MULDER,"Did you hear that? The overhead camera viewpoint starts to rise up. Slowly at first, speeding up as it gets higher. First we see MULDER and SCULLY, holding hands, getting smaller, then MULDER's property and then the surrouding countryside. As the camera ascends further we pass through the cloud layer, see lush green counties and states from higher and higher above, then the eastern seaboard of the USA. As the camera climbs higher still we see the whole of the continental USA, central America and the northern countries of South America, until finally we are met with the beautiful image of earth hovering in the darkness of space. As the earth slowly drifts away into the distance, we end. 'Cause, oh, we're bleeding out I belong with you, you belong with me, you're my sweetheart I belong with you, you belong with me, you're my sweet Finally back again - please let me know if you like the new transcript!"
